alpha,gamma,seed,step,profit,waste_pct,fill_rate_pct
0.5,0.8,1,5000,171.48760613530538,5.45724795153294,91.80362314206627
0.5,0.8,1,10000,172.37674609695975,5.468088708312172,91.8164128518312
0.5,0.8,1,15000,170.83812654067378,5.312026216417278,91.85295487973106
0.5,0.8,1,20000,171.42050123253904,5.265983498474174,91.87944784995842
0.5,0.8,1,25000,171.8529170090386,5.36231884057971,91.862090386706
0.5,0.8,1,30000,171.66358531909066,5.300968862692666,91.87579364716845
0.5,0.8,1,35000,171.1839222130923,5.154386461132324,91.89497821181587
0.5,0.8,1,40000,172.00253355245138,5.482697351721804,91.8410787206636
0.5,0.8,1,45000,171.90153382634895,5.476051676476672,91.83285676438614
0.5,0.8,1,50000,171.302725280745,5.353075170842825,91.85204132903355
0.5,0.8,1,55000,171.85599835661463,5.368085166464293,91.83833806857112
0.5,0.8,1,60000,171.50917556833744,5.453416966813056,91.8401651699661
0.5,0.8,1,65000,171.91933716789922,5.4318177542843165,91.84473292345359
0.5,0.8,1,70000,170.97815666940565,5.423862738458065,91.8438193727561
0.5,0.8,1,75000,170.85935360175296,5.2624638541166275,91.87853429926093
0.5,0.8,1,80000,170.47760887428103,5.251606096573033,91.88127495135343
0.5,0.8,1,85000,170.3964667214462,5.397497412738734,91.85386843042855
0.5,0.8,1,90000,171.27430840865517,5.449296622282404,91.85021422763856
0.5,0.8,1,95000,171.31094220761435,5.373409621320485,91.85478198112604
0.5,0.8,1,100000,171.3153930430019,5.4982139499906,91.83377031508364
0.5,0.8,1,105000,171.33525061626952,5.292539421040245,91.89954596530335
0.5,0.8,2,5000,170.52964941112023,5.683310199947481,92.01650684430129
0.5,0.8,2,10000,170.34750753218296,5.553260992002404,92.06042749432692
0.5,0.8,2,15000,169.07217200766914,5.242197429741561,92.08879291413513
0.5,0.8,2,20000,169.69460421802245,5.565310472398802,92.02016689847011
0.5,0.8,2,25000,171.49958915365653,5.308893925572034,92.12447844228095
0.5,0.8,2,30000,170.78882497945767,5.2602363390034625,92.13454359124515
0.5,0.8,2,35000,170.52964941112023,5.211146979379406,92.15192884854696
0.5,0.8,2,40000,169.2909476855656,5.369581770495502,92.10526315789474
0.5,0.8,2,45000,171.00691591344838,5.505491410870177,92.10526315789474
0.5,0.8,2,50000,170.4947274719255,5.481008498051552,92.09885806309933
0.5,0.8,2,55000,170.75938099150918,5.285929270127916,92.13728863187175
0.5,0.8,2,60000,170.942892358258,5.456031413514199,92.08513285996632
0.5,0.8,2,65000,170.9593262119967,5.4250159780442875,92.06774760266453
0.5,0.8,2,70000,170.22185702547247,5.221526437214559,92.09153795476172
0.5,0.8,2,75000,170.6200356066831,5.360283674601905,92.06408754849572
0.5,0.8,2,80000,170.93262119967133,5.500089226174263,92.0595124807847
0.5,0.8,2,85000,170.74739797315803,5.558319643276226,92.04944733182052
0.5,0.8,2,90000,169.83600383456587,5.361895000141053,92.08330283288193
0.5,0.8,2,95000,170.56320186250343,5.495083445251088,92.06957762974892
0.5,0.8,2,100000,170.61763900301287,5.399257414109132,92.08330283288193
0.5,0.8,2,105000,171.50609422076144,5.479799402715952,92.08879291413513
0.5,0.8,3,5000,171.80635442344564,5.568763802095569,91.81415322764859
0.5,0.8,3,10000,171.94535743631883,5.803366308781471,91.78400109644113
0.5,0.8,3,15000,171.44686387291154,5.574506874160113,91.80684362008314
0.5,0.8,3,20000,171.40440975075322,5.550387596899225,91.84065055507332
0.5,0.8,3,25000,171.33764721993975,5.511100245418386,91.8132395267029
0.5,0.8,3,30000,171.15961380443713,5.638338826136353,91.82237653615971
0.5,0.8,3,35000,171.12400712133663,5.568604607463641,91.8324272465622
0.5,0.8,3,40000,170.80731306491373,5.542508219821513,91.86988898533511
0.5,0.8,3,45000,171.0387565050671,5.3981309818462435,91.84521905980174
0.5,0.8,3,50000,171.0158175842235,5.512018191727274,91.87537119100918
0.5,0.8,3,55000,170.8572993700356,5.356033655203569,91.88176709762894
0.5,0.8,3,60000,170.87202136400987,5.311025957274533,91.88999040614007
0.5,0.8,3,65000,171.67899205697069,5.362268376920977,91.88176709762894
0.5,0.8,3,70000,171.61462612982746,5.436223314751971,91.9119192288364
0.5,0.8,3,75000,171.5564228978362,5.4893005159435,91.88450820046599
0.5,0.8,3,80000,170.90899753492195,5.330761268467112,91.92014253734753
0.5,0.8,3,85000,170.71453026568062,5.208991093727911,91.89547261181416
0.5,0.8,3,90000,171.24212544508353,5.521414745071508,91.86623418155237
0.5,0.8,3,95000,171.56155847712955,5.566460362331771,91.86988898533511
0.5,0.8,3,100000,171.11442070665572,5.401744136821607,91.87628489195487
0.5,0.8,3,105000,171.85771021637908,5.408329335177188,91.86988898533511
0.5,0.95,1,5000,170.83299096138043,5.44156247354012,91.81367219973873
0.5,0.95,1,10000,170.89906874828813,5.586513433004125,91.77987082393138
0.5,0.95,1,15000,171.06785812106273,5.420842154787109,91.8182399532262
0.5,0.95,1,20000,170.9600109559025,5.399328259212916,91.85295487973106
0.5,0.95,1,25000,171.29998630512188,5.372165239484333,91.86117683600853
0.5,0.95,1,30000,170.8579841139414,5.336459686987966,91.83011611229365
0.5,0.95,1,35000,171.10312243221034,5.525744518893724,91.83377031508364
0.5,0.95,1,40000,170.8935907970419,5.5440706634091335,91.82372125741118
0.5,0.95,1,45000,170.30060257463708,5.5251630853683755,91.81275864904123
0.5,0.95,1,50000,171.01342098055326,5.34184413187972,91.84564647415108
0.5,0.95,1,55000,170.95213640098603,5.3638656727656056,91.85021422763856
0.5,0.95,1,60000,170.86346206518763,5.358016790272183,91.85934973461353
0.5,0.95,1,65000,170.99048205970968,5.324006514964648,91.862090386706
0.5,0.95,1,70000,170.89598740071213,5.127745828226643,91.92512538483322
0.5,0.95,1,75000,171.74027663653794,5.273316135349389,91.9086814722783
0.5,0.95,1,80000,171.47356888523692,5.503293894313451,91.85386843042855
0.5,0.95,1,85000,171.35613530539578,5.326819533867992,91.87579364716845
0.5,0.95,1,90000,171.1935086277732,5.341966815054634,91.87579364716845
0.5,0.95,1,95000,170.20028759244042,5.119547276585711,91.89406466111836
0.5,0.95,1,100000,170.74705560120515,5.126899244546303,91.89041045832839
0.5,0.95,1,105000,171.58826348945493,5.245008903419102,91.87122589368097
0.5,0.95,2,5000,170.44645302656807,5.764436863906434,92.00461166825269
0.5,0.95,2,10000,170.3461380443714,5.544653001436633,92.0402971963985
0.5,0.95,2,15000,171.2363051218844,5.586167406670358,92.02748700680769
0.5,0.95,2,20000,170.5481374965763,5.498036415565869,92.0329770880609
0.5,0.95,2,25000,170.5443714050945,5.674251092645045,92.02016689847011
0.5,0.95,2,30000,170.96822788277186,5.502648484165445,92.06134250786911
0.5,0.95,2,35000,171.1472884141331,5.628887450395429,92.03938218285631
0.5,0.95,2,40000,171.46877567789647,5.591740966682309,92.0384671693141
0.5,0.95,2,45000,171.15927143248425,5.557641757416447,92.04578727765171
0.5,0.95,2,50000,171.3883182689674,5.499459916404452,92.05493741307372
0.5,0.95,2,55000,171.50267050123253,5.749184446360943,91.9936315057463
0.5,0.95,2,60000,171.45371131196933,5.6460766380563765,92.0329770880609
0.5,0.95,2,65000,170.88537387017254,5.545279564339702,92.04487226410951
0.5,0.95,2,70000,170.8942755409477,5.47253862636743,92.0284020203499
0.5,0.95,2,75000,170.60325938099152,5.584914161277302,92.03389210160312
0.5,0.95,2,80000,171.1442070665571,5.4936178605979205,92.06408754849572
0.5,0.95,2,85000,171.606751574911,5.401214262889796,92.09611302247274
0.5,0.95,2,90000,171.39413859216654,5.301719273165043,92.12539345582314
0.5,0.95,2,95000,171.3256642015886,5.373948197245334,92.09062294121952
0.5,0.95,2,100000,170.56799506984387,5.270340219283798,92.09611302247274
0.5,0.95,2,105000,170.8675705286223,5.502235077570339,92.06866261620672
